Cluster,pos_rate,neg_rate,entropy,pos_tfidf,neg_tfidf,polarity,total_mentions
0,0.054,0.278,0.775,238.954,982.937,0.297,5059.375
1,0.069,0.432,0.888,231.212,1151.499,0.467,3168.2
2,0.052,0.349,0.823,812.41,4019.158,0.343,13233.667
